Species,Genus,Family,Order,Ploidy,Base,Chromosome_number,No_diff_ploidies
Fallopia dumetorum,Fallopia,Polygonaceae,Caryophyllales,2,10,20,1
Festuca altissima,Festuca,Poaceae,Poales,2,7,14,1
Festuca armoricana,Festuca,Poaceae,Poales,4,7,28,1
Festuca capillata,Festuca,Poaceae,Poales,2,7,14,1
Festuca filiformis,Festuca,Poaceae,Poales,"2, 4",7,"14, 28",2
Festuca gigantea,Festuca,Poaceae,Poales,6,7,42,1
Festuca huonii,Festuca,Poaceae,Poales,6,7,42,1
Festuca juncifolia,Festuca,Poaceae,Poales,8,7,56,1
Festuca lemanii,Festuca,Poaceae,Poales,6,7,42,1
Festuca longifolia,Festuca,Poaceae,Poales,"2, 6",7,"14, 42",2
Festuca ovina,Festuca,Poaceae,Poales,2,7,14,1
Festuca pratensis,Festuca,Poaceae,Poales,2,7,14,1
Festuca rubra,Festuca,Poaceae,Poales,"6 (-1), 6, 8, 9, 10",7,"41, 42, 56, 63, 70",4
Festuca trachyphylla,Festuca,Poaceae,Poales,6,7,42,1
Festuca vivipara,Festuca,Poaceae,Poales,"3, 4",7,"21, 28",2
Ficaria verna,Ficaria,Ranunculaceae,Ranunculales,"2, 2 (+2), 3 (-4), 3 (-3), 3 (-2), 3, 4",8,"16, 18, 20, 21, 22, 24, 32",3
Filago germanica,Filago,Asteraceae,Asterales,2,14,28,1
Filipendula ulmaria,Filipendula,Rosaceae,Rosales,2,7,"14, 16",1
Filipendula vulgaris,Filipendula,Rosaceae,Rosales,2,7,"14, 15",1
Foeniculum vulgare,Foeniculum,Apiaceae,Apiales,2,11,22,1
Fragaria vesca,Fragaria,Rosaceae,Rosales,2,7,14,1
Frangula alnus,Frangula,Rhamnaceae,Rosales,2,10,20,1
Fraxinus excelsior,Fraxinus,Oleaceae,Lamiales,2,23,"46, 48",1
Fumaria bastardii,Fumaria,Papaveraceae,Ranunculales,6,8,48,1
Fumaria capreolata,Fumaria,Papaveraceae,Ranunculales,8,8,64,1
Fumaria martinii,Fumaria,Papaveraceae,Ranunculales,6,8,48,1
Fumaria muralis,Fumaria,Papaveraceae,Ranunculales,6,8,48,1
Fumaria occidentalis,Fumaria,Papaveraceae,Ranunculales,16,7,112,1
Fumaria parviflora,Fumaria,Papaveraceae,Ranunculales,4,8,32,1
Fumaria purpurea,Fumaria,Papaveraceae,Ranunculales,10,8,80,1
Fumaria vaillantii,Fumaria,Papaveraceae,Ranunculales,4,8,32,1
Gagea bohemica,Gagea,Liliaceae,Liliales,5,12,60,1
Gagea lutea,Gagea,Liliaceae,Liliales,6,12,72,1
Gagea serotina,Gagea,Liliaceae,Liliales,2,12,24,1
Gaillardia aristata,Gaillardia,Asteraceae,Asterales,2,17,34,1
Gaillardia pulchella,Gaillardia,Asteraceae,Asterales,2,17,34,1
Galanthus elwesii,Galanthus,Amaryllidaceae,Asparagales,2,12,24,1
Galanthus plicatus,Galanthus,Amaryllidaceae,Asparagales,2,12,24,1
Galatella linosyris,Galatella,Asteraceae,Asterales,2,9,18,1
Galeopsis bifida,Galeopsis,Lamiaceae,Lamiales,4,8,32,1
Galeopsis speciosa,Galeopsis,Lamiaceae,Lamiales,2,8,16,1
Galeopsis tetrahit,Galeopsis,Lamiaceae,Lamiales,4,8,32,1
Galium album,Galium,Rubiaceae,Gentianales,4,11,44,1
Galium aparine,Galium,Rubiaceae,Gentianales,6,11,66,1
Galium boreale,Galium,Rubiaceae,Gentianales,4,11,44,1
Galium debile,Galium,Rubiaceae,Gentianales,2,11,24,1
Galium mollugo,Galium,Rubiaceae,Gentianales,4,11,44,1
Galium odoratum,Galium,Rubiaceae,Gentianales,4,11,44,1
Galium palustre,Galium,Rubiaceae,Gentianales,"2, 4",12,"24, 48",2
Galium pumilum,Galium,Rubiaceae,Gentianales,8,11,"86, 88",1
Galium saxatile,Galium,Rubiaceae,Gentianales,4,11,"43, 44",1
Galium sterneri,Galium,Rubiaceae,Gentianales,"2, 3 (-1), 3, 4 (-2), 4 (-1), 4, 5",11,"22, 32, 33, 42, 43, 44, 55",4
Galium uliginosum,Galium,Rubiaceae,Gentianales,"2, 8",11,"22, 88",2
Galium verum,Galium,Rubiaceae,Gentianales,4,11,44,1
Gaultheria mucronata,Gaultheria,Ericaceae,Ericales,6,11,66,1
Gaultheria shallon,Gaultheria,Ericaceae,Ericales,8,11,88,1
Genista pilosa,Genista,Fabaceae,Fabales,2,24,48,1
Genista tinctoria,Genista,Fabaceae,Fabales,4,24,96,1
Gentianella amarella,Gentianella,Gentianaceae,Gentianales,4,9,36,1
Gentianella anglica,Gentianella,Gentianaceae,Gentianales,4,9,36,1
Gentianella germanica,Gentianella,Gentianaceae,Gentianales,4,9,36,1
Gentianella uliginosa,Gentianella,Gentianaceae,Gentianales,6,9,54,1
Geranium columbinum,Geranium,Geraniaceae,Geraniales,2,9,18,1
Geranium dissectum,Geranium,Geraniaceae,Geraniales,2,23,22,1
Geranium endressii,Geranium,Geraniaceae,Geraniales,2,13,26,1
Geranium ibericum,Geranium,Geraniaceae,Geraniales,4,14,56,1
Geranium lucidum,Geranium,Geraniaceae,Geraniales,"2, 4",10,"20, 40",2
Geranium molle,Geranium,Geraniaceae,Geraniales,2,13,26,1
Geranium platypetalum,Geranium,Geraniaceae,Geraniales,2,14,28,1
Geranium pratense,Geranium,Geraniaceae,Geraniales,2,14,28,1
Geranium purpureum,Geranium,Geraniaceae,Geraniales,2,16,32,1
Geranium pyrenaicum,Geranium,Geraniaceae,Geraniales,2,14,28,1
Geranium robertianum,Geranium,Geraniaceae,Geraniales,"2, 4",16,"32, 64",2
Geranium sanguineum,Geranium,Geraniaceae,Geraniales,4,23,84,1
Geranium sylvaticum,Geranium,Geraniaceae,Geraniales,2,14,28,1
Geranium versicolor,Geranium,Geraniaceae,Geraniales,2,13,26,1
Geum macrophyllum,Geum,Rosaceae,Rosales,6,7,42,1
Geum rivale,Geum,Rosaceae,Rosales,6,7,42,1
Geum urbanum,Geum,Rosaceae,Rosales,6,7,42,1
Glaucium flavum,Glaucium,Papaveraceae,Ranunculales,2,6,12,1
Glyceria declinata,Glyceria,Poaceae,Poales,"2, 3",10,"20, 30",2
Glyceria fluitans,Glyceria,Poaceae,Poales,4,10,40,1
Glyceria maxima,Glyceria,Poaceae,Poales,6,10,60,1
Glyceria notata,Glyceria,Poaceae,Poales,4,10,40,1
Goodyera repens,Goodyera,Orchidaceae,Asparagales,2,15,30,1
Gymnadenia borealis,Gymnadenia,Orchidaceae,Asparagales,2,20,40,1
Gymnadenia conopsea,Gymnadenia,Orchidaceae,Asparagales,2,20,40,1
Gymnadenia densiflora,Gymnadenia,Orchidaceae,Asparagales,2,20,40,1
Hedera helix,Hedera,Araliaceae,Apiales,4,12,48,1
Helianthemum apenninum,Helianthemum,Cistaceae,Malvales,4,5,20,1
Helianthemum nummularium,Helianthemum,Cistaceae,Malvales,4,5,20,1
Helianthemum oelandicum,Helianthemum,Cistaceae,Malvales,4,5,22,1
Helianthus annuus,Helianthus,Asteraceae,Asterales,2,17,34,1
Helictotrichon pratense,Helictotrichon,Poaceae,Poales,"6, 18",7,"42, 126",2
Helictotrichon pubescens,Helictotrichon,Poaceae,Poales,2,7,14,1
Helleborus foetidus,Helleborus,Ranunculaceae,Ranunculales,2,16,32,1
Helleborus viridis,Helleborus,Ranunculaceae,Ranunculales,2,16,32,1
Helminthotheca echioides,Helminthotheca,Asteraceae,Asterales,2,5,10,1
Heracleum mantegazzianum,Heracleum,Apiaceae,Apiales,2,11,22,1
Heracleum sphondylium,Heracleum,Apiaceae,Apiales,2,11,22,1
Herniaria ciliolata,Herniaria,Caryophyllaceae,Caryophyllales,"8, 12",9,"72, 108",2
Herniaria glabra,Herniaria,Caryophyllaceae,Caryophyllales,2,9,18,1
Hieracium holosericeum,Hieracium,Asteraceae,Asterales,"3, 4",9,"27, 36",2
Hieracium insigne,Hieracium,Asteraceae,Asterales,"3, 4",9,"27, 36",2
Hieracium sect.,Hieracium,Asteraceae,Asterales,"4, 5",9,"36, 45",2
Hieracium tenuifrons,Hieracium,Asteraceae,Asterales,"3, 4",9,"27, 36",2
Hieracium umbellatum,Hieracium,Asteraceae,Asterales,"2, 3",9,"18, 27",2
Hierochloe odorata,Hierochloe,Poaceae,Poales,4,7,28,1
Hippocrepis comosa,Hippocrepis,Fabaceae,Fabales,"2, 4",7,"14, 28",2
Holcus lanatus,Holcus,Poaceae,Poales,2,7,14,1
Holcus mollis,Holcus,Poaceae,Poales,"4, 5, 7",7,"28, 35, 49",3
Honckenya peploides,Honckenya,Caryophyllaceae,Caryophyllales,"3 (-3), 4 (-4), 4",17,"48, 64, 68",2
Hordeum marinum,Hordeum,Poaceae,Poales,2,7,14,1
Hordeum murinum,Hordeum,Poaceae,Poales,4,7,28,1
Hordeum secalinum,Hordeum,Poaceae,Poales,2,7,14,1
Hornungia petraea,Hornungia,Brassicaceae,Brassicales,2,6,12,1
Humulus lupulus,Humulus,Cannabaceae,Rosales,2,8,20,1
Hyacinthoides non-scripta,Hyacinthoides,Asparagaceae,Asparagales,"2, 3",8,"16, 24",2
Hyoscyamus niger,Hyoscyamus,Solanaceae,Solanales,2,17,34,1
Hypericum androsaemum,Hypericum,Hypericaceae,Malpighiales,4,10,40,1
Hypericum hircinum,Hypericum,Hypericaceae,Malpighiales,4,10,40,1
Hypericum hirsutum,Hypericum,Hypericaceae,Malpighiales,2,9,18,1
Hypericum humifusum,Hypericum,Hypericaceae,Malpighiales,2,8,16,1
Hypericum linariifolium,Hypericum,Hypericaceae,Malpighiales,2,8,16,1
Hypericum perforatum,Hypericum,Hypericaceae,Malpighiales,4,8,32,1
Hypericum pulchrum,Hypericum,Hypericaceae,Malpighiales,2,9,18,1
Hypericum tetrapterum,Hypericum,Hypericaceae,Malpighiales,2,8,16,1
Hypericum undulatum,Hypericum,Hypericaceae,Malpighiales,2,8,16,1
Hypochaeris glabra,Hypochaeris,Asteraceae,Asterales,2,5,10,1
Hypochaeris maculata,Hypochaeris,Asteraceae,Asterales,2,5,10,1
Hypochaeris radicata,Hypochaeris,Asteraceae,Asterales,2,4,8,1
Iberis amara,Iberis,Brassicaceae,Brassicales,2,7,14,1
Ilex aquifolium,Ilex,Aquifoliaceae,Aquifoliales,2,20,40,1
Impatiens parviflora,Impatiens,Balsaminaceae,Ericales,?,?,"24, 26",1
Inula conyzae,Inula,Asteraceae,Asterales,4,8,32,1
Inula crithmoides,Inula,Asteraceae,Asterales,2,9,18,1
Inula helenium,Inula,Asteraceae,Asterales,2,10,20,1
Iris pseudacorus,Iris,Iridaceae,Asparagales,2,17,"24, 30, 34",1
Isolepis setacea,Isolepis,Cyperaceae,Poales,2,14,"26, 28",1
Jacobaea aquatica,Jacobaea,Asteraceae,Asterales,4,10,40,1
Jacobaea maritima,Jacobaea,Asteraceae,Asterales,4,10,40,1
Jacobaea vulgaris,Jacobaea,Asteraceae,Asterales,"3 (+2), 4",10,"32, 40",2
Jasione montana,Jasione,Campanulaceae,Asterales,2,9,12,1
Juglans nigra,Juglans,Juglandaceae,Fagales,2,16,32,1
Juglans regia,Juglans,Juglandaceae,Fagales,2,16,32,1
Juncus acutiflorus,Juncus,Juncaceae,Poales,4,10,40,1
Juncus acutus,Juncus,Juncaceae,Poales,"7, 8",6,"42, 48",2
Juncus alpinoarticulatus,Juncus,Juncaceae,Poales,4,10,40,1
Juncus articulatus,Juncus,Juncaceae,Poales,8,10,80,1
Juncus bufonius,Juncus,Juncaceae,Poales,6,18,108,1
Juncus bulbosus,Juncus,Juncaceae,Poales,4,10,40,1
Juncus conglomeratus,Juncus,Juncaceae,Poales,4,10,42,1
Juncus effusus,Juncus,Juncaceae,Poales,4,10,40,1
Juncus foliosus,Juncus,Juncaceae,Poales,3,10,26,1
Juncus gerardii,Juncus,Juncaceae,Poales,8,10,84,1
Juncus inflexus,Juncus,Juncaceae,Poales,4,10,40,1
Juncus maritimus,Juncus,Juncaceae,Poales,8,6,48,1
Juncus squarrosus,Juncus,Juncaceae,Poales,4,10,40,1
Juncus subnodulosus,Juncus,Juncaceae,Poales,4,10,40,1
Kickxia elatine,Kickxia,Plantaginaceae,Lamiales,4,9,36,1
Kickxia spuria,Kickxia,Plantaginaceae,Lamiales,2,9,18,1
Koeleria macrantha,Koeleria,Poaceae,Poales,4,7,28,1
Koeleria vallesiana,Koeleria,Poaceae,Poales,"2, 5, 6",7,"14, 35, 42",3
Laburnum alpinum,Laburnum,Fabaceae,Fabales,4,12,48,1
Laburnum anagyroides,Laburnum,Fabaceae,Fabales,4,12,48,1
Lactuca muralis,Lactuca,Asteraceae,Asterales,2,9,18,1
Lactuca saligna,Lactuca,Asteraceae,Asterales,2,9,18,1
Lactuca serriola,Lactuca,Asteraceae,Asterales,2,9,18,1
Lactuca virosa,Lactuca,Asteraceae,Asterales,2,9,18,1
Lamium album,Lamium,Lamiaceae,Lamiales,2,9,18,1
Lamium amplexicaule,Lamium,Lamiaceae,Lamiales,2,9,18,1
Lamium galeobdolon,Lamium,Lamiaceae,Lamiales,"2, 4",9,"18, 36",2
Lapsana communis,Lapsana,Asteraceae,Asterales,2,6,14,1
Lathyrus aphaca,Lathyrus,Fabaceae,Fabales,2,7,14,1
Lathyrus japonicus,Lathyrus,Fabaceae,Fabales,2,7,14,1
Lathyrus linifolius,Lathyrus,Fabaceae,Fabales,2,7,14,1
Lathyrus nissolia,Lathyrus,Fabaceae,Fabales,2,7,14,1
Lathyrus palustris,Lathyrus,Fabaceae,Fabales,6,7,42,1
Lathyrus pratensis,Lathyrus,Fabaceae,Fabales,"2, 4",7,"14, 28",2
Lemna gibba,Lemna,Araceae,Alismatales,4,10,40,1
Lemna trisulca,Lemna,Araceae,Alismatales,4,10,40,1
Leontodon hispidus,Leontodon,Asteraceae,Asterales,2,7,"11, 14",1
Leontodon saxatilis,Leontodon,Asteraceae,Asterales,2,4,8,1
Leontodon taraxacoides,Leontodon,Asteraceae,Asterales,2,4,8,1
Lepidium campestre,Lepidium,Brassicaceae,Brassicales,2,8,16,1
Lepidium heterophyllum,Lepidium,Brassicaceae,Brassicales,2,8,16,1
Lepidium latifolium,Lepidium,Brassicaceae,Brassicales,3,8,24,1
Leucanthemum lacustre,Leucanthemum,Asteraceae,Asterales,12,9,108,1
Leucanthemum maximum,Leucanthemum,Asteraceae,Asterales,22,9,198,1
Leucanthemum vulgare,Leucanthemum,Asteraceae,Asterales,"2, 3, 4",9,"18, 27, 36",3
Leucojum aestivum,Leucojum,Amaryllidaceae,Asparagales,2,11,22,1
Leymus arenarius,Leymus,Poaceae,Poales,8,7,56,1
Ligustrum ovalifolium,Ligustrum,Oleaceae,Lamiales,2,23,46,1
Ligustrum vulgare,Ligustrum,Oleaceae,Lamiales,2,23,46,1
Limbarda crithmoides,Limbarda,Asteraceae,Asterales,2,9,18,1
Limonium bellidifolium,Limonium,Plumbaginaceae,Caryophyllales,2,9,18,1
Limonium binervosum,Limonium,Plumbaginaceae,Caryophyllales,4,9,"32, 35",1
Limonium britannicum,Limonium,Plumbaginaceae,Caryophyllales,4,9,"35, 36",1
Limonium humile,Limonium,Plumbaginaceae,Caryophyllales,"4, 5 (+3), 5 (+4), 6",9,"36, 48, 49, 54",3
Limonium loganicum,Limonium,Plumbaginaceae,Caryophyllales,4,9,36,1
Limonium procerum,Limonium,Plumbaginaceae,Caryophyllales,4,9,"35, 36",1
Limonium recurvum,Limonium,Plumbaginaceae,Caryophyllales,4,9,"27, 35",1
Limosella aquatica,Limosella,Scrophulariaceae,Lamiales,"3, 4",10,"30, 40",2
Limosella australis,Limosella,Scrophulariaceae,Lamiales,2,10,20,1
Linaria purpurea,Linaria,Plantaginaceae,Lamiales,2,6,12,1
Linaria repens,Linaria,Plantaginaceae,Lamiales,2,6,12,1
Linaria supina,Linaria,Plantaginaceae,Lamiales,2,6,12,1
Linaria vulgaris,Linaria,Plantaginaceae,Lamiales,2,6,12,1
Linum bienne,Linum,Linaceae,Malpighiales,2,15,30,1
Linum catharticum,Linum,Linaceae,Malpighiales,2,15,16,1
Linum perenne,Linum,Linaceae,Malpighiales,2,15,36,1
Lolium multiflorum,Lolium,Poaceae,Poales,2,7,14,1
Lolium perenne,Lolium,Poaceae,Poales,2,7,14,1
Lolium temulentum,Lolium,Poaceae,Poales,2,7,14,1
Lonicera periclymenum,Lonicera,Caprifoliaceae,Dipsacales,"2, 6",9,"18, 54",2
Lotus angustissimus,Lotus,Fabaceae,Fabales,2,6,12,1
Lotus corniculatus,Lotus,Fabaceae,Fabales,4,6,24,1
Lotus hispidus,Lotus,Fabaceae,Fabales,4,6,24,1
Lotus pedunculatus,Lotus,Fabaceae,Fabales,2,6,12,1
Lotus subbiflorus,Lotus,Fabaceae,Fabales,4,6,24,1
Lotus tenuis,Lotus,Fabaceae,Fabales,2,6,12,1
Luzula campestris,Luzula,Juncaceae,Poales,2,6,12,1
Luzula forsteri,Luzula,Juncaceae,Poales,2,12,24,1
Luzula multiflora,Luzula,Juncaceae,Poales,"4, 5, 6, 7",6,"24, 30, 36, 42",4
Luzula pallescens,Luzula,Juncaceae,Poales,2,6,12,1
Luzula pilosa,Luzula,Juncaceae,Poales,6,11,"62, 66",1
Luzula spicata,Luzula,Juncaceae,Poales,4,6,24,1
Luzula sylvatica,Luzula,Juncaceae,Poales,2,6,12,1
Lysimachia nemorum,Lysimachia,Primulaceae,Ericales,2,8?,"16, 18",1
Malus pumila,Malus,Rosaceae,Rosales,2,17,34,1
Malus sylvestris,Malus,Rosaceae,Rosales,2,17,34,1
Malva moschata,Malva,Malvaceae,Malvales,6,7,42,1
Malva neglecta,Malva,Malvaceae,Malvales,6,7,42,1
Malva sylvestris,Malva,Malvaceae,Malvales,6,7,42,1
Matricaria chamomilla,Matricaria,Asteraceae,Asterales,2,9,18,1
Matthiola incana,Matthiola,Brassicaceae,Brassicales,2,7,14,1
Matthiola sinuata,Matthiola,Brassicaceae,Brassicales,2,7,14,1
Medicago arabica,Medicago,Fabaceae,Fabales,2,8,16,1
Medicago lupulina,Medicago,Fabaceae,Fabales,2,8,16,1
Medicago minima,Medicago,Fabaceae,Fabales,2,8,16,1
Medicago polymorpha,Medicago,Fabaceae,Fabales,2,7,14,1
Medicago sativa,Medicago,Fabaceae,Fabales,4,8,32,1
Melampyrum cristatum,Melampyrum,Orobanchaceae,Lamiales,2,9,18,1
Melittis melissophyllum,Melittis,Lamiaceae,Lamiales,2,15,30,1
Mentha aquatica,Mentha,Lamiaceae,Lamiales,8,12,96,1
Mentha arvensis,Mentha,Lamiaceae,Lamiales,6,12,72,1
Mentha longifolia,Mentha,Lamiaceae,Lamiales,"2, 3, 4",12,"24, 36, 48",3
Mentha pulegium,Mentha,Lamiaceae,Lamiales,2,12,20,1
Mentha spicata,Mentha,Lamiaceae,Lamiales,"3, 4",12,"36, 48",2
Mentha suaveolens,Mentha,Lamiaceae,Lamiales,2,12,24,1
Mentha villosa,Mentha,Lamiaceae,Lamiales,4,12,48,1
Mercurialis perennis,Mercurialis,Euphorbiaceae,Malpighiales,"8, 9 (+2)",8,"64, 74",2
Mespilus germanica,Mespilus,Rosaceae,Rosales,2,17,34,1
Mibora minima,Mibora,Poaceae,Poales,2,7,14,1
Milium effusum,Milium,Poaceae,Poales,4,7,28,1
Mimulus guttatus,Mimulus,Phrymaceae,Lamiales,"2, 3 (+3), 3 (+6)",14,"28, 45, 48",2
Minuartia rubella,Minuartia,Caryophyllaceae,Caryophyllales,2,12,24,1
Minuartia sedoides,Minuartia,Caryophyllaceae,Caryophyllales,4,12,48,1
Minuartia stricta,Minuartia,Caryophyllaceae,Caryophyllales,2,?,"22, 30",1
Minuartia verna,Minuartia,Caryophyllaceae,Caryophyllales,2,12,24,1
Misopates orontium,Misopates,Plantaginaceae,Lamiales,2,8,16,1
Molinia caerulea,Molinia,Poaceae,Poales,4,9,36,1
Montia fontana,Montia,Montiaceae,Caryophyllales,2,9,18,1
Myosotis alpestris,Myosotis,Boraginaceae,Boraginales,4,12,48,1
Myosotis secunda,Myosotis,Boraginaceae,Boraginales,4,12,48,1
Myosotis stolonifera,Myosotis,Boraginaceae,Boraginales,2,12,24,1
Myosurus minimus,Myosurus,Ranunculaceae,Ranunculales,2,8,16,1
Myriophyllum alterniflorum,Myriophyllum,Haloragaceae,Saxifragales,2,7,14,1
Myriophyllum spicatum,Myriophyllum,Haloragaceae,Saxifragales,6,7,42,1
Myriophyllum verticillatum,Myriophyllum,Haloragaceae,Saxifragales,4,7,28,1
Najas flexilis,Najas,Hydrocharitaceae,Alismatales,4,6,24,1
Narcissus cyclamineus,Narcissus,Amaryllidaceae,Asparagales,2,7,14,1
Narcissus jonquilla,Narcissus,Amaryllidaceae,Asparagales,2,7,14,1
Narcissus pseudonarcissus,Narcissus,Amaryllidaceae,Asparagales,"2, 6 (+1)",7,"14, 43",2
Nardus stricta,Nardus,Poaceae,Poales,2,13,26,1
Narthecium ossifragum,Narthecium,Nartheciaceae,Dioscoreales,2,13,26,1
Nasturtium microphyllum,Nasturtium,Brassicaceae,Brassicales,4,16,64,1
Nasturtium officinale,Nasturtium,Brassicaceae,Brassicales,2,16,32,1
Neottia ovata,Neottia,Orchidaceae,Asparagales,2,17,"34, 36",1
Nepeta cataria,Nepeta,Lamiaceae,Lamiales,4,9,"34, 36",1
Nepeta racemosa,Nepeta,Lamiaceae,Lamiales,2,9,18,1
Nicotiana alata,Nicotiana,Solanaceae,Solanales,2,9,18,1
Nicotiana forgetiana,Nicotiana,Solanaceae,Solanales,2,9,18,1
Nothofagus alpina,Nothofagus,Nothofagaceae,Fagales,2,13,26,1
Nothofagus obliqua,Nothofagus,Nothofagaceae,Fagales,2,13,26,1
Nuphar lutea,Nuphar,Nymphaeaceae,Nymphaeales,2,17,34,1
Nuphar pumila,Nuphar,Nymphaeaceae,Nymphaeales,2,17,34,1
Nymphaea alba,Nymphaea,Nymphaeaceae,Nymphaeales,6,14,84,1
Oenanthe aquatica,Oenanthe,Apiaceae,Apiales,2,11,22,1
Oenanthe crocata,Oenanthe,Apiaceae,Apiales,2,11,22,1
Oenanthe fistulosa,Oenanthe,Apiaceae,Apiales,2,11,22,1
Oenanthe fluviatilis,Oenanthe,Apiaceae,Apiales,2,11,22,1
Oenanthe lachenalii,Oenanthe,Apiaceae,Apiales,2,11,22,1
Oenanthe pimpinelloides,Oenanthe,Apiaceae,Apiales,2,11,22,1
Oenanthe silaifolia,Oenanthe,Apiaceae,Apiales,2,11,22,1
Oenothera biennis,Oenothera,Onagraceae,Myrtales,2,7,14,1
Oenothera glazioviana,Oenothera,Onagraceae,Myrtales,2,7,14,1
Onobrychis viciifolia,Onobrychis,Fabaceae,Fabales,4,7,28,1
Ononis reclinata,Ononis,Fabaceae,Fabales,4,15,60,1
Onopordum acanthium,Onopordum,Asteraceae,Asterales,2,17,34,1
Ophrys apifera,Ophrys,Orchidaceae,Asparagales,2,18,36,1
Ophrys fuciflora,Ophrys,Orchidaceae,Asparagales,2,18,36,1
Ophrys insectifera,Ophrys,Orchidaceae,Asparagales,2,18,36,1
Ophrys sphegodes,Ophrys,Orchidaceae,Asparagales,2,18,36,1
Orchis anthropophora,Orchis,Orchidaceae,Asparagales,2,21,42,1
Orchis mascula,Orchis,Orchidaceae,Asparagales,2,21,42,1
Orchis militaris,Orchis,Orchidaceae,Asparagales,2,21,42,1
Orchis purpurea,Orchis,Orchidaceae,Asparagales,2,21,42,1
Orchis simia,Orchis,Orchidaceae,Asparagales,2,21,42,1
Origanum vulgare,Origanum,Lamiaceae,Lamiales,2,15,30,1
Ornithogalum umbellatum,Ornithogalum,Asparagaceae,Asparagales,"3, 6",9,"27, 54",2
Orobanche alba,Orobanche,Orobanchaceae,Lamiales,2,19,38,1
Orobanche caryophyllacea,Orobanche,Orobanchaceae,Lamiales,2,19,38,1
Orobanche elatior,Orobanche,Orobanchaceae,Lamiales,2,19,38,1
Orobanche hederae,Orobanche,Orobanchaceae,Lamiales,2,19,38,1
Orobanche minor,Orobanche,Orobanchaceae,Lamiales,2,19,38,1
Orobanche purpurea,Orobanche,Orobanchaceae,Lamiales,2,19,24,1
Orobanche rapum-genistae,Orobanche,Orobanchaceae,Lamiales,2,19,38,1
Orobanche reticulata,Orobanche,Orobanchaceae,Lamiales,2,19,38,1
Oxalis acetosella,Oxalis,Oxalidaceae,Oxalidales,2,11,22,1
Papaver argemone,Papaver,Papaveraceae,Ranunculales,"2, 6",7,"12, 42",2
Papaver cambricum,Papaver,Papaveraceae,Ranunculales,2,11,22,1
Papaver dubium,Papaver,Papaveraceae,Ranunculales,"4, 6",7,"28, 42",2
Papaver hybridum,Papaver,Papaveraceae,Ranunculales,2,7,14,1
Papaver rhoeas,Papaver,Papaveraceae,Ranunculales,2,7,14,1
Papaver somniferum,Papaver,Papaveraceae,Ranunculales,2,11,22,1
Parentucellia viscosa,Parentucellia,Orobanchaceae,Lamiales,2,24,48,1
Paris quadrifolia,Paris,Melanthiaceae,Liliales,4,5,20,1
Parnassia palustris,Parnassia,Celastraceae,Celastrales,"2, 4",9,"18, 36",2
Pastinaca sativa,Pastinaca,Apiaceae,Apiales,2,11,22,1
Pedicularis palustris,Pedicularis,Orobanchaceae,Lamiales,2,8,16,1
Pedicularis sylvatica,Pedicularis,Orobanchaceae,Lamiales,2,8,16,1
Persicaria amphibia,Persicaria,Polygonaceae,Caryophyllales,"8, 9 (-3)",11,"88, 96",2
Persicaria hydropiper,Persicaria,Polygonaceae,Caryophyllales,2,10,20,1
Persicaria lapathifolia,Persicaria,Polygonaceae,Caryophyllales,2,11,22,1
Persicaria maculosa,Persicaria,Polygonaceae,Caryophyllales,"2, 4",11,"22, 44",2
Persicaria minor,Persicaria,Polygonaceae,Caryophyllales,4,10,40,1
Persicaria mitis,Persicaria,Polygonaceae,Caryophyllales,4,10,40,1
Persicaria weyrichii,Persicaria,Polygonaceae,Caryophyllales,2,10,20,1
Petasites fragrans,Petasites,Asteraceae,Asterales,2,30,60,1
Petasites hybridus,Petasites,Asteraceae,Asterales,2,30,60,1
Petrorhagia nanteuilii,Petrorhagia,Caryophyllaceae,Caryophyllales,4,15,60,1
Phalaris arundinacea,Phalaris,Poaceae,Poales,4,7,28,1
Philadelphus coronarius,Philadelphus,Hydrangeaceae,Cornales,2,13,26,1
Philadelphus microphyllus,Philadelphus,Hydrangeaceae,Cornales,2,13,26,1
Phleum alpinum,Phleum,Poaceae,Poales,4,7,28,1
Phleum arenarium,Phleum,Poaceae,Poales,2,7,14,1
Phleum phleoides,Phleum,Poaceae,Poales,2,7,14,1
Phleum pratense,Phleum,Poaceae,Poales,"2, 6",7,"14, 42",2
Phragmites australis,Phragmites,Poaceae,Poales,4,12,48,1
Phyteuma orbiculare,Phyteuma,Campanulaceae,Asterales,2,11,22,1
Picris hieracioides,Picris,Asteraceae,Asterales,2,5,10,1
Pilosella flagellaris,Pilosella,Asteraceae,Asterales,6,9,54,1
Pilosella lactucella,Pilosella,Asteraceae,Asterales,2,9,18,1
Pilosella officinarum,Pilosella,Asteraceae,Asterales,"2, 4, 5, 6 (-1), 6",9,"18, 36, 45, 53, 54",4
Pilosella peleteriana,Pilosella,Asteraceae,Asterales,2,9,18,1
Pimpinella major,Pimpinella,Apiaceae,Apiales,2,9,18,1
Pinguicula lusitanica,Pinguicula,Lentibulariaceae,Lamiales,2,11,12,1
Plantago coronopus,Plantago,Plantaginaceae,Lamiales,2,5,10,1
Plantago lanceolata,Plantago,Plantaginaceae,Lamiales,2,6,12,1
Plantago major,Plantago,Plantaginaceae,Lamiales,2,6,12,1
Plantago maritima,Plantago,Plantaginaceae,Lamiales,2,6,12,1
Plantago media,Plantago,Plantaginaceae,Lamiales,4,6,24,1
